지구별,주차장명,주차대수,이용시간,날짜
PLT-002,난지123주차장,53658,2665854,Jul-21
PLT-002,난지123주차장,53658,2665854,Jul-21
PLT-006,광나루3주차장,20074,1125137,Jul-21
PLT-008,여의도4주차장,4855,1472191,Jul-21
PLT-010,잠원1-6주차장,98671,7570735,Jul-21
PLT-005,뚝섬3주차장,11099,762744,Jul-21
PLT-003,망원1주차장,10756,848539,Jul-21
PLT-002,난지123주차장,53658,2665854,Jul-21
PLT-008,여의도2주차장,31870,4307914,Jul-21
PLT-003,망원1주차장,10756,848539,Jul-21
PLT-007,양화1주차장,8651,848818,Jul-21
PLT-006,광나루12주차장,25049,1697010,Jul-21
PLT-004,이촌1주차장,2904,204700,Jul-21
PLT-008,여의도4주차장,4855,1472191,Jul-21
PLT-005,뚝섬1주차장,6818,577324,Jul-21
PLT-005,뚝섬4주차장,21425,1810836,Jul-21
PLT-007,양화345주차장,26855,1911093,Jul-21
PLT-007,양화345주차장,26855,1911093,Jul-21
PLT-004,이촌2주차장,10790,727435,Jul-21
PLT-008,여의도4주차장,4855,1472191,Jul-21
PLT-011,잠실1234주차장,95166,5797471,Jul-21
PLT-009,반포23주차장,76464,5086143,Jul-21
PLT-003,망원23주차장,24367,1890853,Jul-21
PLT-005,뚝섬2주차장,21955,2163922,Jul-21
PLT-007,양화2주차장,1972,159333,Jul-21
PLT-005,뚝섬1주차장,6818,577324,Jul-21
PLT-008,여의도4주차장,4855,1472191,Jul-21
PLT-008,여의도2주차장,31870,4307914,Jul-21
PLT-002,난지123주차장,53658,2665854,Jul-21
PLT-005,뚝섬4주차장,21425,1810836,Jul-21
PLT-011,잠실1234주차장,95166,5797471,Jul-21
PLT-008,여의도3주차장,29531,8493501,Jul-21
PLT-009,반포23주차장,76464,5086143,Jul-21
PLT-005,뚝섬1주차장,6818,577324,Jul-21
PLT-009,반포1주차장,28667,1547621,Jul-21
PLT-008,여의도5주차장,8161,2760774,Jul-21
PLT-003,망원23주차장,24367,1890853,Jul-21
PLT-005,뚝섬2주차장,21955,2163922,Jul-21
PLT-002,난지123주차장,53658,2665854,Jul-21
PLT-005,뚝섬4주차장,21425,1810836,Jul-21
PLT-007,양화1주차장,8651,848818,Jul-21
PLT-003,망원1주차장,10756,848539,Jul-21
PLT-006,광나루3주차장,20074,1125137,Jul-21
PLT-005,뚝섬2주차장,21955,2163922,Jul-21
PLT-003,망원23주차장,24367,1890853,Jul-21
PLT-009,반포23주차장,76464,5086143,Jul-21
PLT-008,여의도2주차장,31870,4307914,Jul-21
PLT-004,이촌34주차장,32886,2563815,Jul-21
PLT-008,여의도1주차장,71279,8158791,Jul-21
PLT-001,강서1주차장,7022,580497,Jul-21
PLT-004,이촌1주차장,2904,204700,Jul-21
PLT-007,양화2주차장,1972,159333,Jul-21
PLT-005,뚝섬2주차장,21955,2163922,Jul-21
PLT-003,망원23주차장,24367,1890853,Jul-21
PLT-009,반포23주차장,76464,5086143,Jul-21
PLT-008,여의도2주차장,31870,4307914,Jul-21
PLT-008,여의도3주차장,29531,8493501,Jul-21
PLT-003,망원1주차장,10756,848539,Jul-21
PLT-009,반포1주차장,28667,1547621,Jul-21
PLT-008,여의도5주차장,8161,2760774,Jul-21
PLT-008,여의도1주차장,71279,8158791,Jul-21
PLT-001,강서1주차장,7022,580497,Jul-21
PLT-010,잠원1-6주차장,98671,7570735,Jul-21
PLT-005,뚝섬3주차장,11099,762744,Jul-21
PLT-004,이촌2주차장,10790,727435,Jul-21
PLT-002,난지123주차장,53658,2665854,Jul-21
PLT-004,이촌34주차장,32886,2563815,Jul-21
PLT-007,양화1주차장,8651,848818,Jul-21
PLT-008,여의도4주차장,4855,1472191,Jul-21
PLT-009,반포1주차장,28667,1547621,Jul-21
PLT-009,반포23주차장,76464,5086143,Jul-21
PLT-009,반포1주차장,28667,1547621,Jul-21
PLT-008,여의도5주차장,8161,2760774,Jul-21
PLT-008,여의도1주차장,71279,8158791,Jul-21
PLT-001,강서1주차장,7022,580497,Jul-21
PLT-004,이촌2주차장,10790,727435,Jul-21
PLT-002,난지123주차장,53658,2665854,Jul-21
PLT-003,망원23주차장,24367,1890853,Jul-21
PLT-005,뚝섬2주차장,21955,2163922,Jul-21
PLT-006,광나루12주차장,25049,1697010,Jul-21
PLT-007,양화345주차장,26855,1911093,Jul-21
PLT-001,강서1주차장,7022,580497,Jul-21
PLT-008,여의도1주차장,71279,8158791,Jul-21
PLT-004,이촌1주차장,2904,204700,Jul-21
PLT-007,양화1주차장,8651,848818,Jul-21
PLT-003,망원1주차장,10756,848539,Jul-21
PLT-008,여의도2주차장,31870,4307914,Jul-21
PLT-008,여의도5주차장,8161,2760774,Jul-21
PLT-007,양화2주차장,1972,159333,Jul-21
PLT-004,이촌34주차장,32886,2563815,Jul-21
PLT-009,반포1주차장,28667,1547621,Jul-21
PLT-005,뚝섬1주차장,6818,577324,Jul-21
PLT-005,뚝섬4주차장,21425,1810836,Jul-21
PLT-001,강서1주차장,7022,580497,Jul-21
PLT-005,뚝섬2주차장,21955,2163922,Jul-21
PLT-009,반포23주차장,76464,5086143,Jul-21
PLT-003,망원23주차장,24367,1890853,Jul-21
PLT-005,뚝섬2주차장,21955,2163922,Jul-21
PLT-007,양화2주차장,1972,159333,Jul-21
PLT-008,여의도1주차장,71279,8158791,Jul-21
PLT-008,여의도5주차장,8161,2760774,Jul-21
PLT-009,반포1주차장,28667,1547621,Jul-21
PLT-005,뚝섬4주차장,21425,1810836,Jul-21
PLT-002,난지123주차장,53658,2665854,Jul-21
PLT-009,반포1주차장,28667,1547621,Jul-21
PLT-006,광나루3주차장,20074,1125137,Jul-21
PLT-010,잠원1-6주차장,98671,7570735,Jul-21
PLT-007,양화2주차장,1972,159333,Jul-21
PLT-007,양화345주차장,26855,1911093,Jul-21
PLT-004,이촌1주차장,2904,204700,Jul-21
PLT-006,광나루12주차장,25049,1697010,Jul-21
PLT-009,반포1주차장,28667,1547621,Jul-21
PLT-008,여의도5주차장,8161,2760774,Jul-21
PLT-008,여의도1주차장,71279,8158791,Jul-21
PLT-001,강서1주차장,7022,580497,Jul-21
PLT-002,난지123주차장,53658,2665854,Jul-21
PLT-006,광나루3주차장,20074,1125137,Jul-21
PLT-010,잠원1-6주차장,98671,7570735,Jul-21
PLT-005,뚝섬3주차장,11099,762744,Jul-21
PLT-009,반포1주차장,28667,1547621,Jul-21
PLT-008,여의도3주차장,29531,8493501,Jul-21
PLT-011,잠실1234주차장,95166,5797471,Jul-21
PLT-008,여의도5주차장,8161,2760774,Jul-21
PLT-008,여의도1주차장,71279,8158791,Jul-21
PLT-001,강서1주차장,7022,580497,Jul-21
PLT-007,양화2주차장,1972,159333,Jul-21
PLT-005,뚝섬2주차장,21955,2163922,Jul-21
PLT-008,여의도4주차장,4855,1472191,Jul-21
PLT-006,광나루12주차장,25049,1697010,Jul-21
PLT-004,이촌1주차장,2904,204700,Jul-21
PLT-007,양화1주차장,8651,848818,Jul-21
PLT-003,망원1주차장,10756,848539,Jul-21
PLT-008,여의도2주차장,31870,4307914,Jul-21
PLT-004,이촌34주차장,32886,2563815,Jul-21
PLT-004,이촌2주차장,10790,727435,Jul-21
PLT-008,여의도5주차장,8161,2760774,Jul-21
PLT-008,여의도1주차장,71279,8158791,Jul-21
PLT-008,여의도3주차장,29531,8493501,Jul-21
PLT-011,잠실1234주차장,95166,5797471,Jul-21
PLT-007,양화345주차장,26855,1911093,Jul-21
PLT-005,뚝섬3주차장,11099,762744,Jul-21
PLT-004,이촌34주차장,32886,2563815,Jul-21
PLT-008,여의도2주차장,31870,4307914,Jul-21
PLT-001,강서1주차장,7022,580497,Jul-21
PLT-001,강서1주차장,7022,580497,Jul-21
PLT-004,이촌2주차장,10790,727435,Jul-21
PLT-005,뚝섬3주차장,11099,762744,Jul-21
PLT-007,양화345주차장,26855,1911093,Jul-21
PLT-006,광나루12주차장,25049,1697010,Jul-21
PLT-001,강서1주차장,7022,580497,Jul-21
PLT-009,반포23주차장,76464,5086143,Jul-21
PLT-003,망원23주차장,24367,1890853,Jul-21
PLT-008,여의도4주차장,4855,1472191,Jul-21
PLT-005,뚝섬1주차장,6818,577324,Jul-21
PLT-005,뚝섬4주차장,21425,1810836,Jul-21
PLT-005,뚝섬2주차장,21955,2163922,Jul-21
PLT-007,양화2주차장,1972,159333,Jul-21
PLT-003,망원23주차장,24367,1890853,Jul-21
PLT-009,반포23주차장,76464,5086143,Jul-21
PLT-011,잠실1234주차장,95166,5797471,Jul-21
PLT-009,반포1주차장,28667,1547621,Jul-21
PLT-008,여의도5주차장,8161,2760774,Jul-21
PLT-008,여의도1주차장,71279,8158791,Jul-21
PLT-008,여의도3주차장,29531,8493501,Jul-21
PLT-010,잠원1-6주차장,98671,7570735,Jul-21
PLT-006,광나루3주차장,20074,1125137,Jul-21
PLT-007,양화345주차장,26855,1911093,Jul-21
PLT-008,여의도3주차장,29531,8493501,Jul-21
PLT-011,잠실1234주차장,95166,5797471,Jul-21
PLT-004,이촌34주차장,32886,2563815,Jul-21
PLT-006,광나루3주차장,20074,1125137,Jul-21
PLT-008,여의도3주차장,29531,8493501,Jul-21
PLT-011,잠실1234주차장,95166,5797471,Jul-21
PLT-011,잠실1234주차장,95166,5797471,Jul-21
PLT-008,여의도3주차장,29531,8493501,Jul-21
PLT-003,망원23주차장,24367,1890853,Jul-21
PLT-007,양화345주차장,26855,1911093,Jul-21
PLT-006,광나루12주차장,25049,1697010,Jul-21
PLT-003,망원1주차장,10756,848539,Jul-21
PLT-001,강서1주차장,7022,580497,Jul-21
PLT-008,여의도1주차장,71279,8158791,Jul-21
PLT-008,여의도5주차장,8161,2760774,Jul-21
PLT-007,양화1주차장,8651,848818,Jul-21
PLT-004,이촌2주차장,10790,727435,Jul-21
PLT-004,이촌1주차장,2904,204700,Jul-21
PLT-004,이촌1주차장,2904,204700,Jul-21
PLT-007,양화1주차장,8651,848818,Jul-21
PLT-006,광나루12주차장,25049,1697010,Jul-21
PLT-003,망원1주차장,10756,848539,Jul-21
PLT-002,난지123주차장,53658,2665854,Jul-21
PLT-009,반포23주차장,76464,5086143,Jul-21
PLT-008,여의도2주차장,31870,4307914,Jul-21
PLT-007,양화345주차장,26855,1911093,Jul-21
PLT-006,광나루12주차장,25049,1697010,Jul-21
PLT-011,잠실1234주차장,95166,5797471,Jul-21
PLT-008,여의도3주차장,29531,8493501,Jul-21
PLT-006,광나루12주차장,25049,1697010,Jul-21
PLT-007,양화345주차장,26855,1911093,Jul-21
PLT-001,강서1주차장,7022,580497,Jul-21
PLT-004,이촌2주차장,10790,727435,Jul-21
PLT-005,뚝섬3주차장,11099,762744,Jul-21
PLT-003,망원23주차장,24367,1890853,Jul-21
PLT-005,뚝섬2주차장,21955,2163922,Jul-21
PLT-007,양화2주차장,1972,159333,Jul-21
PLT-009,반포23주차장,76464,5086143,Jul-21
PLT-006,광나루3주차장,20074,1125137,Jul-21
PLT-010,잠원1-6주차장,98671,7570735,Jul-21
PLT-005,뚝섬3주차장,11099,762744,Jul-21
PLT-004,이촌2주차장,10790,727435,Jul-21
PLT-010,잠원1-6주차장,98671,7570735,Jul-21
PLT-003,망원23주차장,24367,1890853,Jul-21
PLT-011,잠실1234주차장,95166,5797471,Jul-21
PLT-008,여의도3주차장,29531,8493501,Jul-21
PLT-009,반포1주차장,28667,1547621,Jul-21
PLT-005,뚝섬1주차장,6818,577324,Jul-21
PLT-006,광나루3주차장,20074,1125137,Jul-21
PLT-005,뚝섬4주차장,21425,1810836,Jul-21
PLT-011,잠실1234주차장,95166,5797471,Jul-21
PLT-008,여의도3주차장,29531,8493501,Jul-21
PLT-011,잠실1234주차장,95166,5797471,Jul-21
PLT-008,여의도3주차장,29531,8493501,Jul-21
PLT-008,여의도1주차장,71279,8158791,Jul-21
PLT-006,광나루12주차장,25049,1697010,Jul-21
PLT-005,뚝섬1주차장,6818,577324,Jul-21
PLT-008,여의도4주차장,4855,1472191,Jul-21
PLT-004,이촌34주차장,32886,2563815,Jul-21
PLT-004,이촌2주차장,10790,727435,Jul-21
PLT-004,이촌1주차장,2904,204700,Jul-21
PLT-007,양화1주차장,8651,848818,Jul-21
PLT-005,뚝섬3주차장,11099,762744,Jul-21
PLT-010,잠원1-6주차장,98671,7570735,Jul-21
PLT-006,광나루3주차장,20074,1125137,Jul-21
PLT-007,양화345주차장,26855,1911093,Jul-21
PLT-002,난지123주차장,53658,2665854,Jul-21
PLT-008,여의도2주차장,31870,4307914,Jul-21
PLT-007,양화345주차장,26855,1911093,Jul-21
PLT-004,이촌2주차장,10790,727435,Jul-21
PLT-005,뚝섬3주차장,11099,762744,Jul-21
PLT-010,잠원1-6주차장,98671,7570735,Jul-21
PLT-006,광나루3주차장,20074,1125137,Jul-21
PLT-004,이촌34주차장,32886,2563815,Jul-21
PLT-008,여의도3주차장,29531,8493501,Jul-21
PLT-004,이촌34주차장,32886,2563815,Jul-21
PLT-008,여의도2주차장,31870,4307914,Jul-21
PLT-003,망원1주차장,10756,848539,Jul-21
PLT-002,난지123주차장,53658,2665854,Jul-21
PLT-007,양화1주차장,8651,848818,Jul-21
PLT-004,이촌1주차장,2904,204700,Jul-21
PLT-006,광나루12주차장,25049,1697010,Jul-21
PLT-008,여의도3주차장,29531,8493501,Jul-21
PLT-011,잠실1234주차장,95166,5797471,Jul-21
PLT-005,뚝섬4주차장,21425,1810836,Jul-21
PLT-005,뚝섬1주차장,6818,577324,Jul-21
PLT-009,반포23주차장,76464,5086143,Jul-21
PLT-003,망원1주차장,10756,848539,Jul-21
PLT-004,이촌2주차장,10790,727435,Jul-21
PLT-003,망원23주차장,24367,1890853,Jul-21
PLT-002,난지123주차장,53658,2665854,Jul-21
PLT-009,반포23주차장,76464,5086143,Jul-21
PLT-005,뚝섬4주차장,21425,1810836,Jul-21
PLT-005,뚝섬1주차장,6818,577324,Jul-21
PLT-009,반포1주차장,28667,1547621,Jul-21
PLT-008,여의도5주차장,8161,2760774,Jul-21
PLT-008,여의도1주차장,71279,8158791,Jul-21
PLT-001,강서1주차장,7022,580497,Jul-21
PLT-005,뚝섬4주차장,21425,1810836,Jul-21
PLT-006,광나루12주차장,25049,1697010,Jul-21
PLT-008,여의도5주차장,8161,2760774,Jul-21
PLT-007,양화345주차장,26855,1911093,Jul-21
PLT-009,반포23주차장,76464,5086143,Jul-21
PLT-008,여의도4주차장,4855,1472191,Jul-21
PLT-008,여의도3주차장,29531,8493501,Jul-21
PLT-011,잠실1234주차장,95166,5797471,Jul-21
PLT-005,뚝섬4주차장,21425,1810836,Jul-21
PLT-007,양화345주차장,26855,1911093,Jul-21
PLT-006,광나루12주차장,25049,1697010,Jul-21
PLT-005,뚝섬4주차장,21425,1810836,Jul-21
PLT-008,여의도4주차장,4855,1472191,Jul-21
PLT-005,뚝섬1주차장,6818,577324,Jul-21
PLT-008,여의도4주차장,4855,1472191,Jul-21
PLT-006,광나루3주차장,20074,1125137,Jul-21
PLT-010,잠원1-6주차장,98671,7570735,Jul-21
PLT-005,뚝섬3주차장,11099,762744,Jul-21
PLT-004,이촌2주차장,10790,727435,Jul-21
PLT-001,강서1주차장,7022,580497,Jul-21
PLT-004,이촌1주차장,2904,204700,Jul-21
PLT-008,여의도4주차장,4855,1472191,Jul-21
PLT-005,뚝섬1주차장,6818,577324,Jul-21
PLT-005,뚝섬4주차장,21425,1810836,Jul-21
PLT-005,뚝섬4주차장,21425,1810836,Jul-21
PLT-005,뚝섬1주차장,6818,577324,Jul-21
PLT-008,여의도4주차장,4855,1472191,Jul-21
PLT-003,망원1주차장,10756,848539,Jul-21
PLT-005,뚝섬4주차장,21425,1810836,Jul-21
PLT-005,뚝섬1주차장,6818,577324,Jul-21
PLT-005,뚝섬1주차장,6818,577324,Jul-21
PLT-006,광나루3주차장,20074,1125137,Jul-21
PLT-010,잠원1-6주차장,98671,7570735,Jul-21
PLT-005,뚝섬2주차장,21955,2163922,Jul-21
PLT-007,양화2주차장,1972,159333,Jul-21
PLT-003,망원23주차장,24367,1890853,Jul-21
PLT-008,여의도4주차장,4855,1472191,Jul-21
PLT-005,뚝섬2주차장,21955,2163922,Jul-21
PLT-005,뚝섬3주차장,11099,762744,Jul-21
PLT-011,잠실1234주차장,95166,5797471,Jul-21
PLT-004,이촌2주차장,10790,727435,Jul-21
PLT-005,뚝섬3주차장,11099,762744,Jul-21
PLT-007,양화1주차장,8651,848818,Jul-21
PLT-008,여의도3주차장,29531,8493501,Jul-21
PLT-008,여의도4주차장,4855,1472191,Jul-21
PLT-010,잠원1-6주차장,98671,7570735,Jul-21
PLT-006,광나루3주차장,20074,1125137,Jul-21
PLT-001,강서1주차장,7022,580497,Jul-21
PLT-008,여의도1주차장,71279,8158791,Jul-21
PLT-008,여의도5주차장,8161,2760774,Jul-21
PLT-009,반포1주차장,28667,1547621,Jul-21
PLT-001,강서1주차장,7022,580497,Jul-21
PLT-008,여의도1주차장,71279,8158791,Jul-21
PLT-002,난지123주차장,53658,2665854,Jul-21
PLT-006,광나루12주차장,25049,1697010,Jul-21
PLT-007,양화345주차장,26855,1911093,Jul-21
PLT-004,이촌34주차장,32886,2563815,Jul-21
PLT-005,뚝섬1주차장,6818,577324,Jul-21
PLT-007,양화345주차장,26855,1911093,Jul-21
PLT-008,여의도4주차장,4855,1472191,Jul-21
PLT-006,광나루12주차장,25049,1697010,Jul-21
PLT-011,잠실1234주차장,95166,5797471,Jul-21
PLT-008,여의도3주차장,29531,8493501,Jul-21
PLT-008,여의도4주차장,4855,1472191,Jul-21
PLT-004,이촌2주차장,10790,727435,Jul-21
PLT-004,이촌2주차장,10790,727435,Jul-21
PLT-005,뚝섬3주차장,11099,762744,Jul-21
PLT-009,반포23주차장,76464,5086143,Jul-21
PLT-003,망원23주차장,24367,1890853,Jul-21
PLT-005,뚝섬3주차장,11099,762744,Jul-21
PLT-004,이촌1주차장,2904,204700,Jul-21
PLT-010,잠원1-6주차장,98671,7570735,Jul-21
PLT-009,반포1주차장,28667,1547621,Jul-21
PLT-008,여의도5주차장,8161,2760774,Jul-21
PLT-008,여의도1주차장,71279,8158791,Jul-21
PLT-001,강서1주차장,7022,580497,Jul-21
PLT-006,광나루3주차장,20074,1125137,Jul-21
PLT-007,양화2주차장,1972,159333,Jul-21
PLT-005,뚝섬2주차장,21955,2163922,Jul-21
PLT-003,망원23주차장,24367,1890853,Jul-21
PLT-009,반포23주차장,76464,5086143,Jul-21
PLT-005,뚝섬2주차장,21955,2163922,Jul-21
PLT-007,양화2주차장,1972,159333,Jul-21
PLT-007,양화1주차장,8651,848818,Jul-21
PLT-003,망원1주차장,10756,848539,Jul-21
PLT-008,여의도2주차장,31870,4307914,Jul-21
PLT-004,이촌34주차장,32886,2563815,Jul-21
PLT-007,양화2주차장,1972,159333,Jul-21
PLT-008,여의도2주차장,31870,4307914,Jul-21
PLT-003,망원1주차장,10756,848539,Jul-21
PLT-007,양화1주차장,8651,848818,Jul-21
PLT-004,이촌1주차장,2904,204700,Jul-21
PLT-010,잠원1-6주차장,98671,7570735,Jul-21
PLT-004,이촌1주차장,2904,204700,Jul-21
PLT-007,양화1주차장,8651,848818,Jul-21
PLT-003,망원1주차장,10756,848539,Jul-21
PLT-004,이촌34주차장,32886,2563815,Jul-21
PLT-005,뚝섬3주차장,11099,762744,Jul-21
PLT-006,광나루12주차장,25049,1697010,Jul-21
PLT-010,잠원1-6주차장,98671,7570735,Jul-21
PLT-008,여의도2주차장,31870,4307914,Jul-21
PLT-007,양화2주차장,1972,159333,Jul-21
PLT-005,뚝섬2주차장,21955,2163922,Jul-21
PLT-003,망원23주차장,24367,1890853,Jul-21
PLT-009,반포23주차장,76464,5086143,Jul-21
PLT-008,여의도4주차장,4855,1472191,Jul-21
PLT-006,광나루3주차장,20074,1125137,Jul-21
PLT-004,이촌34주차장,32886,2563815,Jul-21
PLT-008,여의도2주차장,31870,4307914,Jul-21
PLT-003,망원1주차장,10756,848539,Jul-21
PLT-004,이촌2주차장,10790,727435,Jul-21
PLT-005,뚝섬3주차장,11099,762744,Jul-21
PLT-010,잠원1-6주차장,98671,7570735,Jul-21
PLT-006,광나루3주차장,20074,1125137,Jul-21
PLT-007,양화1주차장,8651,848818,Jul-21
PLT-004,이촌1주차장,2904,204700,Jul-21
PLT-004,이촌34주차장,32886,2563815,Jul-21
PLT-008,여의도2주차장,31870,4307914,Jul-21
PLT-007,양화345주차장,26855,1911093,Jul-21
PLT-003,망원1주차장,10756,848539,Jul-21
PLT-007,양화2주차장,1972,159333,Jul-21
PLT-005,뚝섬2주차장,21955,2163922,Jul-21
PLT-007,양화1주차장,8651,848818,Jul-21
PLT-004,이촌1주차장,2904,204700,Jul-21
PLT-002,난지123주차장,53658,2665854,Jul-21
PLT-006,광나루3주차장,20074,1125137,Jul-21
PLT-003,망원1주차장,10756,848539,Jul-21
PLT-005,뚝섬1주차장,6818,577324,Jul-21
PLT-005,뚝섬4주차장,21425,1810836,Jul-21
PLT-002,난지123주차장,53658,2665854,Jul-21
PLT-006,광나루12주차장,25049,1697010,Jul-21
PLT-003,망원1주차장,10756,848539,Jul-21
PLT-007,양화1주차장,8651,848818,Jul-21
PLT-003,망원23주차장,24367,1890853,Jul-21
PLT-009,반포23주차장,76464,5086143,Jul-21
PLT-001,강서1주차장,7022,580497,Jul-21
PLT-008,여의도1주차장,71279,8158791,Jul-21
PLT-008,여의도5주차장,8161,2760774,Jul-21
PLT-005,뚝섬4주차장,21425,1810836,Jul-21
PLT-005,뚝섬1주차장,6818,577324,Jul-21
PLT-002,난지123주차장,53658,2665854,Jul-21
PLT-008,여의도4주차장,4855,1472191,Jul-21
PLT-005,뚝섬2주차장,21955,2163922,Jul-21
PLT-008,여의도2주차장,31870,4307914,Jul-21
PLT-008,여의도3주차장,29531,8493501,Jul-21
PLT-011,잠실1234주차장,95166,5797471,Jul-21
PLT-008,여의도4주차장,4855,1472191,Jul-21
PLT-009,반포23주차장,76464,5086143,Jul-21
PLT-003,망원23주차장,24367,1890853,Jul-21
PLT-005,뚝섬2주차장,21955,2163922,Jul-21
PLT-007,양화2주차장,1972,159333,Jul-21
PLT-007,양화345주차장,26855,1911093,Jul-21
PLT-006,광나루12주차장,25049,1697010,Jul-21
PLT-001,강서1주차장,7022,580497,Jul-21
PLT-009,반포23주차장,76464,5086143,Jul-21
PLT-003,망원23주차장,24367,1890853,Jul-21
PLT-005,뚝섬2주차장,21955,2163922,Jul-21
PLT-007,양화2주차장,1972,159333,Jul-21
PLT-007,양화345주차장,26855,1911093,Jul-21
PLT-006,광나루12주차장,25049,1697010,Jul-21
PLT-005,뚝섬1주차장,6818,577324,Jul-21
PLT-007,양화2주차장,1972,159333,Jul-21
PLT-009,반포1주차장,28667,1547621,Jul-21
PLT-008,여의도1주차장,71279,8158791,Jul-21
PLT-002,난지123주차장,53658,2665854,Jul-21
PLT-008,여의도5주차장,8161,2760774,Jul-21
PLT-005,뚝섬4주차장,21425,1810836,Jul-21
PLT-009,반포1주차장,28667,1547621,Jul-21
PLT-005,뚝섬4주차장,21425,1810836,Jul-21
PLT-005,뚝섬1주차장,6818,577324,Jul-21
PLT-008,여의도4주차장,4855,1472191,Jul-21
PLT-005,뚝섬2주차장,21955,2163922,Jul-21
PLT-003,망원23주차장,24367,1890853,Jul-21
PLT-005,뚝섬3주차장,11099,762744,Jul-21
PLT-010,잠원1-6주차장,98671,7570735,Jul-21
PLT-007,양화2주차장,1972,159333,Jul-21
PLT-006,광나루3주차장,20074,1125137,Jul-21
PLT-009,반포23주차장,76464,5086143,Jul-21
PLT-009,반포1주차장,28667,1547621,Jul-21
PLT-006,광나루3주차장,20074,1125137,Jul-21
PLT-010,잠원1-6주차장,98671,7570735,Jul-21
PLT-005,뚝섬3주차장,11099,762744,Jul-21
PLT-004,이촌1주차장,2904,204700,Jul-21
PLT-007,양화1주차장,8651,848818,Jul-21
PLT-003,망원1주차장,10756,848539,Jul-21
PLT-008,여의도2주차장,31870,4307914,Jul-21
PLT-004,이촌34주차장,32886,2563815,Jul-21
PLT-008,여의도3주차장,29531,8493501,Jul-21
PLT-004,이촌2주차장,10790,727435,Jul-21
PLT-005,뚝섬3주차장,11099,762744,Jul-21
PLT-010,잠원1-6주차장,98671,7570735,Jul-21
PLT-004,이촌2주차장,10790,727435,Jul-21
PLT-008,여의도5주차장,8161,2760774,Jul-21
PLT-008,여의도1주차장,71279,8158791,Jul-21
PLT-005,뚝섬4주차장,21425,1810836,Jul-21
PLT-004,이촌1주차장,2904,204700,Jul-21
PLT-001,강서1주차장,7022,580497,Jul-21
PLT-007,양화2주차장,1972,159333,Jul-21
PLT-005,뚝섬2주차장,21955,2163922,Jul-21
PLT-003,망원23주차장,24367,1890853,Jul-21
PLT-009,반포23주차장,76464,5086143,Jul-21
PLT-006,광나루3주차장,20074,1125137,Jul-21
PLT-006,광나루12주차장,25049,1697010,Jul-21
PLT-008,여의도2주차장,31870,4307914,Jul-21
PLT-007,양화345주차장,26855,1911093,Jul-21
PLT-008,여의도3주차장,29531,8493501,Jul-21
PLT-009,반포1주차장,28667,1547621,Jul-21
PLT-004,이촌2주차장,10790,727435,Jul-21
PLT-001,강서1주차장,7022,580497,Jul-21
PLT-011,잠실1234주차장,95166,5797471,Jul-21
PLT-008,여의도1주차장,71279,8158791,Jul-21
PLT-008,여의도5주차장,8161,2760774,Jul-21
PLT-011,잠실1234주차장,95166,5797471,Jul-21
PLT-007,양화2주차장,1972,159333,Jul-21
PLT-005,뚝섬2주차장,21955,2163922,Jul-21
PLT-004,이촌1주차장,2904,204700,Jul-21
PLT-007,양화1주차장,8651,848818,Jul-21
PLT-006,광나루12주차장,25049,1697010,Jul-21
PLT-003,망원23주차장,24367,1890853,Jul-21
PLT-009,반포23주차장,76464,5086143,Jul-21
PLT-002,난지123주차장,53658,2665854,Jul-21
PLT-003,망원1주차장,10756,848539,Jul-21
PLT-008,여의도2주차장,31870,4307914,Jul-21
PLT-004,이촌34주차장,32886,2563815,Jul-21
PLT-011,잠실1234주차장,95166,5797471,Jul-21
PLT-002,난지123주차장,53658,2665854,Jul-21
PLT-009,반포1주차장,28667,1547621,Jul-21
PLT-004,이촌34주차장,32886,2563815,Jul-21
PLT-008,여의도2주차장,31870,4307914,Jul-21
PLT-003,망원1주차장,10756,848539,Jul-21
PLT-007,양화1주차장,8651,848818,Jul-21
PLT-004,이촌1주차장,2904,204700,Jul-21
PLT-005,뚝섬3주차장,11099,762744,Jul-21
PLT-010,잠원1-6주차장,98671,7570735,Jul-21
PLT-004,이촌34주차장,32886,2563815,Jul-21
PLT-006,광나루3주차장,20074,1125137,Jul-21
PLT-007,양화345주차장,26855,1911093,Jul-21
PLT-007,양화2주차장,1972,159333,Jul-21
PLT-002,난지123주차장,53658,2665854,Jul-21
PLT-008,여의도5주차장,8161,2760774,Jul-21
PLT-004,이촌2주차장,10790,727435,Jul-21
PLT-007,양화345주차장,26855,1911093,Jul-21
PLT-008,여의도3주차장,29531,8493501,Jul-21
PLT-004,이촌34주차장,32886,2563815,Jul-21
PLT-010,잠원1-6주차장,98671,7570735,Jul-21
PLT-005,뚝섬3주차장,11099,762744,Jul-21
PLT-008,여의도5주차장,8161,2760774,Jul-21
PLT-001,강서1주차장,7022,580497,Jul-21
PLT-009,반포1주차장,28667,1547621,Jul-21
PLT-008,여의도5주차장,8161,2760774,Jul-21
PLT-008,여의도1주차장,71279,8158791,Jul-21
PLT-008,여의도1주차장,71279,8158791,Jul-21
PLT-008,여의도4주차장,4855,1472191,Jul-21
PLT-005,뚝섬1주차장,6818,577324,Jul-21
PLT-005,뚝섬4주차장,21425,1810836,Jul-21
PLT-008,여의도4주차장,5424,1677321,Jun-21
PLT-010,잠원1-6주차장,118150,9364783,Jun-21
